g42.CodeQualityAssessor.Interface	private void mostrarExcel() 	gbc_scrollPane	B1	0/6
g42.CodeQualityAssessor.Interface	private void mostrarExcel() 	header	B1	0/5
g42.CodeQualityAssessor.Interface	private void mostrarExcelComCodeSmells() 	header	B1	0/5
g42.CodeQualityAssessor.Interface	private void acaoCriarExcel() 	excel	B1	0/4
g42.CodeQualityAssessor.Interface	private void mostrarExcel() 	scrollPaneExcel	B1	0/4
g42.CodeQualityAssessor.VerificacaoCodeSmells	private void retirarCodeSmellMetodo(org.apache.poi.ss.usermodel.Sheet, int) 	codeSmellsMetodos	B2	0/4
g42.CodeQualityAssessor.EscreverMétricasParaExcel	private void adicionarAoWMC_class_array(int, List<java.lang.String>, List<java.lang.String>) 	WMC_class_array	B3	0/4
g42.CodeQualityAssessor.EscreverMétricasParaExcel	private void adicionarAoWMC_class_array(int, List<java.lang.String>, List<java.lang.String>) 	WMC_class_array	B5	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	private void adicionarAoRepeticoes_NOM(List<java.lang.String>, List<java.lang.String>) 	repeticoes_NOM	B3	0/3
g42.CodeQualityAssessor.Interface	private void mostrarExcelComCodeSmells() 	scrollPaneExcel	B1	0/3
g42.CodeQualityAssessor.Interface	private void percorrerDiretorio(java.io.File) 	ficheiro	B2	0/3
g42.CodeQualityAssessor.Interface	public static void main(java.lang.String[]) 	dialog	B1	0/3
g42.CodeQualityAssessor.VerificacaoCodeSmells	private void retirarCodeSmellMetodo(org.apache.poi.ss.usermodel.Sheet, int) 	codeSmellMetodo	B2	0/3
g42.CodeQualityAssessor.EscreverMétricasParaExcel	private void adicionarAoRepeticoes_NOM(List<java.lang.String>, List<java.lang.String>) 	constructorNames	B1	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	private void adicionarAoWMC_class_array(int, List<java.lang.String>, List<java.lang.String>) 	constructors	B1	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void CYCLO_method() throws java.io.FileNotFoundException	constructors	B3	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void LOC_method() throws java.io.FileNotFoundException	constructors	B3	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void escreverNoFicheiro() throws java.io.FileNotFoundException, java.io.IOException	LOC_class_array	B1	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void escreverNoFicheiro() throws java.io.FileNotFoundException, java.io.IOException	WMC_class_array	B1	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void escreverNoFicheiro() throws java.io.FileNotFoundException, java.io.IOException	nomeClasses	B1	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void escreverNoFicheiro() throws java.io.FileNotFoundException, java.io.IOException	nomePacotes	B1	0/2
g42.CodeQualityAssessor.EscreverMétricasParaExcel	public void retirarNomeMetodos() throws java.io.FileNotFoundException	ConstructorName	B3	0/2
g42.CodeQualityAssessor.Interface	private void acaoEscolherDiretorio() 	LabelDiretorio	B2	0/2
g42.CodeQualityAssessor.Interface	private void resetCamposLM() 	ListaOpcoesC1LM	B1	0/2
g42.CodeQualityAssessor.Interface	private void acaoAplicarRegras() 	verificarCS	B1	1/5
g42.CodeQualityAssessor.Interface	private void acaoAplicarRegras() 	verificarCS	B2	0/4
g42.CodeQualityAssessor.Interface	private void acaoEscolherDiretorio() 	diretorio	B1	1/3
g42.CodeQualityAssessor.Interface	private void carregarRegras() 	myReader	B2	1/3
g42.CodeQualityAssessor.Interface	private void alterarRegraGC() 	GC_And_Or	B3	7/13
g42.CodeQualityAssessor.Interface	private void alterarRegraGC() 	GC_And_Or	B4	4/10
g42.CodeQualityAssessor.Interface	private void alterarRegraLM() 	LM_And_Or	B3	7/13
g42.CodeQualityAssessor.Interface	private void alterarRegraLM() 	LM_And_Or	B4	4/10
g42.CodeQualityAssessor.Interface	private void alterarRegraGC() 	second_GC_And_Or	B3	13/25
